,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:46.0,0,0,MIN,MEM,14,away,JS,,4,miss2,0,J. Green,
1,1,11:45.0,0,0,MIN,MEM,1,home,DefReb,,,DefReb,,R. Rubio,
2,1,11:33.0,2,0,MIN,MEM,12,home,JS,assist,4,make2,2,T. Young,R. Rubio
3,1,11:05.0,2,0,MIN,MEM,28,away,JS,,11,miss2,0,M. Conley,
4,1,11:04.0,2,0,MIN,MEM,1,home,DefReb,,,DefReb,,K. Martin,
5,1,10:57.0,2,0,MIN,MEM,7,home,BadPass,steal,,turnover,,K. Martin,Z. Randolph
6,1,10:49.0,2,2,MIN,MEM,8,away,JS,,15,make2,2,C. Lee,
7,1,10:35.0,2,2,MIN,MEM,14,home,JS,,24,miss3,0,K. Martin,
8,1,10:34.0,2,2,MIN,MEM,1,away,DefReb,,,DefReb,,J. Green,
9,1,10:28.0,2,4,MIN,MEM,6,away,LU,,1,make2,2,J. Green,
10,1,10:05.0,2,4,MIN,MEM,23,home,HS,,5,miss2,0,N. Peković,
11,1,10:04.0,2,4,MIN,MEM,1,away,DefReb,,,DefReb,,Z. Randolph,
12,1,9:45.0,2,4,MIN,MEM,19,away,PersonalFoul,DrawnBy,,PersonalFoul,,N. Peković,M. Gasol
13,1,9:36.0,2,6,MIN,MEM,9,away,DK,assist,0,make2,2,J. Green,M. Gasol
14,1,9:23.0,2,6,MIN,MEM,13,home,LostBall,steal,,turnover,,K. Martin,M. Conley
15,1,9:01.0,2,6,MIN,MEM,22,away,LostBall,,,turnover,,M. Conley,
16,1,8:53.0,2,6,MIN,MEM,8,home,OffensiveFoul,DrawnBy,,OffensiveFoul,,N. Peković,M. Conley
17,1,8:53.0,2,6,MIN,MEM,0,home,OffensiveFoul,,,turnover,,N. Peković,
18,1,8:53.0,2,6,MIN,MEM,0,home,Sub,,,,,G. Dieng,N. Peković
19,1,8:41.0,2,6,MIN,MEM,12,away,BadPass,,,turnover,,Z. Randolph,
20,1,8:22.0,5,6,MIN,MEM,19,home,JS,assist,22,make3,3,K. Martin,R. Rubio
21,1,8:02.0,5,6,MIN,MEM,20,away,JS,,25,miss3,0,M. Conley,
22,1,7:59.0,5,6,MIN,MEM,3,home,DefReb,,,DefReb,,A. Wiggins,
23,1,7:52.0,5,6,MIN,MEM,7,home,JS,,20,miss2,0,R. Rubio,
24,1,7:51.0,5,6,MIN,MEM,1,home,OffReb,,,OffReb,,G. Dieng,
25,1,7:48.0,5,6,MIN,MEM,3,home,Timeout,,,,,,
26,1,7:40.0,5,6,MIN,MEM,8,home,JS,,17,miss2,0,A. Wiggins,
27,1,7:39.0,5,6,MIN,MEM,1,away,DefReb,,,DefReb,,Z. Randolph,
28,1,7:21.0,5,6,MIN,MEM,18,away,HS,,5,miss2,0,M. Gasol,
29,1,7:20.0,5,6,MIN,MEM,1,home,DefReb,,,DefReb,,G. Dieng,
30,1,7:07.0,5,6,MIN,MEM,13,home,PersonalFoul,DrawnBy,,PersonalFoul,,J. Green,A. Wiggins
31,1,7:02.0,7,6,MIN,MEM,5,home,DK,assist,0,make2,2,A. Wiggins,R. Rubio
32,1,6:40.0,7,6,MIN,MEM,22,away,JS,,24,miss3,0,C. Lee,
33,1,6:39.0,7,6,MIN,MEM,1,home,DefReb,,,DefReb,,R. Rubio,
34,1,6:18.0,7,6,MIN,MEM,21,home,JS,,16,miss2,0,T. Young,
35,1,6:17.0,7,6,MIN,MEM,1,away,DefReb,,,DefReb,,C. Lee,
