,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:48.0,0,0,PHI,DEN,12,home,ShootingFoul,DrawnBy,,ShootingFoul,,K. Faried,J. Embiid
1,1,11:48.0,1,0,PHI,DEN,0,home,FreeThrow,,,make1,1,J. Embiid,
2,1,11:48.0,2,0,PHI,DEN,0,home,FreeThrow,,,make1,1,J. Embiid,
3,1,11:31.0,2,0,PHI,DEN,17,away,LU,block,2,miss2,0,E. Mudiay,J. Embiid
4,1,11:29.0,2,0,PHI,DEN,2,away,OffReb,,,OffReb,,J. Nurkić,
5,1,11:29.0,2,0,PHI,DEN,0,away,LU,,1,miss2,0,J. Nurkić,
6,1,11:27.0,2,0,PHI,DEN,2,home,DefReb,,,DefReb,,S. Rodríguez,
7,1,11:16.0,4,0,PHI,DEN,11,home,JS,,12,make2,2,J. Embiid,
8,1,11:06.0,4,0,PHI,DEN,10,away,ShootingBlockFoul,DrawnBy,,ShootingBlockingFoul,,J. Embiid,D. Gallinari
9,1,11:06.0,4,1,PHI,DEN,0,away,FreeThrow,,,make1,1,D. Gallinari,
10,1,11:06.0,4,2,PHI,DEN,0,away,FreeThrow,,,make1,1,D. Gallinari,
11,1,10:55.0,4,2,PHI,DEN,11,home,JS,,18,miss2,0,N. Stauskas,
12,1,10:54.0,4,2,PHI,DEN,1,away,DefReb,,,DefReb,,W. Barton,
13,1,10:47.0,4,2,PHI,DEN,7,away,PersonalFoul,DrawnBy,,PersonalFoul,,G. Henderson,D. Gallinari
14,1,10:40.0,4,2,PHI,DEN,7,away,JS,,25,miss3,0,E. Mudiay,
15,1,10:38.0,4,2,PHI,DEN,2,home,DefReb,,,DefReb,,E. İlyasova,
16,1,10:33.0,4,2,PHI,DEN,5,home,LU,block,2,miss2,0,E. İlyasova,J. Nurkić
17,1,10:31.0,4,2,PHI,DEN,2,away,DefReb,,,DefReb,,K. Faried,
18,1,10:25.0,4,4,PHI,DEN,6,away,LU,assist,2,make2,2,J. Nurkić,W. Barton
19,1,10:19.0,4,4,PHI,DEN,6,home,JS,,24,miss3,0,G. Henderson,
20,1,10:15.0,4,4,PHI,DEN,4,away,DefReb,,,DefReb,,E. Mudiay,
21,1,10:06.0,4,4,PHI,DEN,9,away,3sec,,,turnover,,J. Nurkić,
22,1,9:53.0,4,4,PHI,DEN,13,home,PersonalFoul,DrawnBy,,PersonalFoul,,D. Gallinari,J. Embiid
23,1,9:41.0,6,4,PHI,DEN,12,home,LU,assist,1,make2,2,E. İlyasova,S. Rodríguez
24,1,9:29.0,6,4,PHI,DEN,12,away,BadPass,,,turnover,,W. Barton,
25,1,9:14.0,6,4,PHI,DEN,15,home,JS,,25,miss3,0,N. Stauskas,
26,1,9:12.0,6,4,PHI,DEN,2,home,OffReb,,,OffReb,,Team,
27,1,8:59.0,8,4,PHI,DEN,13,home,JS,,8,make2,2,G. Henderson,
28,1,8:44.0,8,4,PHI,DEN,15,away,OffensiveFoul,,,turnover,,J. Nurkić,
29,1,8:44.0,8,4,PHI,DEN,0,away,OffensiveFoul,DrawnBy,,OffensiveFoul,,J. Nurkić,J. Embiid
30,1,8:36.0,8,4,PHI,DEN,8,home,JS,,18,miss2,0,J. Embiid,
31,1,8:35.0,8,4,PHI,DEN,1,away,DefReb,,,DefReb,,K. Faried,
32,1,8:29.0,8,4,PHI,DEN,6,away,BadPass,,,turnover,,W. Barton,
33,1,8:19.0,10,4,PHI,DEN,10,home,JS,assist,19,make2,2,S. Rodríguez,J. Embiid
34,1,8:18.0,10,4,PHI,DEN,1,away,Timeout,,,,,,
35,1,8:12.0,10,4,PHI,DEN,6,away,BadPass,steal,,turnover,,D. Gallinari,G. Henderson
36,1,7:50.0,10,4,PHI,DEN,22,home,ShootingFoul,DrawnBy,,ShootingFoul,,E. Mudiay,G. Henderson
37,1,7:50.0,11,4,PHI,DEN,0,home,FreeThrow,,,make1,1,G. Henderson,
38,1,7:50.0,12,4,PHI,DEN,0,home,FreeThrow,,,make1,1,G. Henderson,
39,1,7:35.0,12,4,PHI,DEN,15,away,JS,,25,miss3,0,D. Gallinari,
40,1,7:34.0,12,4,PHI,DEN,1,home,DefReb,,,DefReb,,J. Embiid,
41,1,7:28.0,12,4,PHI,DEN,6,home,LostBall,steal,,turnover,,S. Rodríguez,D. Gallinari
42,1,7:22.0,12,6,PHI,DEN,6,away,LU,,2,make2,2,D. Gallinari,
43,1,6:56.0,12,6,PHI,DEN,26,home,JS,,23,miss3,0,G. Henderson,
44,1,6:54.0,12,6,PHI,DEN,2,away,DefReb,,,DefReb,,J. Nurkić,
45,1,6:49.0,12,6,PHI,DEN,5,away,JS,,25,miss3,0,W. Barton,
46,1,6:48.0,12,6,PHI,DEN,1,home,DefReb,,,DefReb,,G. Henderson,
47,1,6:43.0,12,6,PHI,DEN,5,home,JS,block,3,miss2,0,E. İlyasova,W. Barton
48,1,6:43.0,12,6,PHI,DEN,0,home,OffReb,,,OffReb,,Team,
49,1,6:43.0,12,6,PHI,DEN,0,home,Sub,,,,,R. Holmes,J. Embiid
50,1,6:43.0,12,6,PHI,DEN,0,away,Sub,,,,,W. Chandler,K. Faried
51,1,6:31.0,15,6,PHI,DEN,12,home,JS,,26,make3,3,S. Rodríguez,
52,1,6:18.0,15,6,PHI,DEN,13,away,LU,block,2,miss2,0,W. Chandler,R. Holmes
53,1,6:17.0,15,6,PHI,DEN,1,away,OffReb,,,OffReb,,J. Nurkić,
54,1,6:17.0,15,8,PHI,DEN,0,away,DK,,0,make2,2,J. Nurkić,
55,1,6:17.0,15,8,PHI,DEN,0,home,Timeout,,,,,,
56,1,6:17.0,15,8,PHI,DEN,0,home,Sub,,,,,D. Šarić,G. Henderson
57,1,6:07.0,15,8,PHI,DEN,10,home,LU,block,3,miss2,0,D. Šarić,D. Gallinari
58,1,6:05.0,15,8,PHI,DEN,2,away,DefReb,,,DefReb,,W. Barton,
59,1,5:59.0,15,8,PHI,DEN,6,away,Traveling,,,turnover,,E. Mudiay,
60,1,5:52.0,15,8,PHI,DEN,7,home,JS,,16,miss2,0,S. Rodríguez,
61,1,5:50.0,15,8,PHI,DEN,2,home,OffReb,,,OffReb,,R. Holmes,
62,1,5:45.0,15,8,PHI,DEN,5,home,JS,,9,miss2,0,S. Rodríguez,
63,1,5:43.0,15,8,PHI,DEN,2,home,OffReb,,,OffReb,,R. Holmes,
64,1,5:40.0,15,8,PHI,DEN,3,home,JS,block,4,miss2,0,R. Holmes,J. Nurkić
65,1,5:38.0,15,8,PHI,DEN,2,away,DefReb,,,DefReb,,W. Chandler,
66,1,5:32.0,15,11,PHI,DEN,6,away,JS,assist,24,make3,3,D. Gallinari,W. Chandler
67,1,5:13.0,17,11,PHI,DEN,19,home,LU,,3,make2,2,E. İlyasova,
68,1,4:54.0,17,11,PHI,DEN,19,away,JS,,4,miss2,0,J. Nurkić,
69,1,4:53.0,17,11,PHI,DEN,1,away,OffReb,,,OffReb,,J. Nurkić,
70,1,4:53.0,17,11,PHI,DEN,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,R. Holmes,J. Nurkić
71,1,4:53.0,17,11,PHI,DEN,0,away,FreeThrow,,,make1,0,J. Nurkić,
72,1,4:53.0,17,11,PHI,DEN,0,away,OffReb,,,OffReb,,Team,
73,1,4:53.0,17,11,PHI,DEN,0,away,FreeThrow,,,make1,0,J. Nurkić,
74,1,4:53.0,17,11,PHI,DEN,0,home,Sub,,,,,T. McConnell,S. Rodríguez
75,1,4:53.0,17,11,PHI,DEN,0,home,Sub,,,,,H. Thompson,E. İlyasova
76,1,4:53.0,17,11,PHI,DEN,0,away,Sub,,,,,J. Nelson,E. Mudiay
77,1,4:52.0,17,11,PHI,DEN,1,home,DefReb,,,DefReb,,R. Holmes,
78,1,4:41.0,17,11,PHI,DEN,11,home,JS,,21,miss2,0,D. Šarić,
79,1,4:40.0,17,11,PHI,DEN,1,away,DefReb,,,DefReb,,J. Nurkić,
80,1,4:29.0,17,13,PHI,DEN,11,away,DK,assist,0,make2,2,J. Nurkić,D. Gallinari
81,1,4:12.0,17,13,PHI,DEN,17,home,JS,,24,miss3,0,R. Holmes,
82,1,4:10.0,17,13,PHI,DEN,2,home,OffReb,,,OffReb,,D. Šarić,
83,1,4:00.0,17,13,PHI,DEN,10,home,ShootingFoul,DrawnBy,,ShootingFoul,,W. Chandler,N. Stauskas
84,1,4:00.0,17,13,PHI,DEN,0,home,FreeThrow,,,make1,0,N. Stauskas,
85,1,4:00.0,17,13,PHI,DEN,0,home,OffReb,,,OffReb,,Team,
86,1,4:00.0,17,13,PHI,DEN,0,away,Sub,,,,,D. Arthur,W. Barton
87,1,4:00.0,17,13,PHI,DEN,0,away,Sub,,,,,J. Murray,J. Nurkić
88,1,4:00.0,18,13,PHI,DEN,0,home,FreeThrow,,,make1,1,N. Stauskas,
89,1,3:47.0,18,13,PHI,DEN,13,away,BadPass,steal,,turnover,,D. Arthur,T. McConnell
90,1,3:41.0,18,13,PHI,DEN,6,home,JS,,24,miss2,0,H. Thompson,
91,1,3:40.0,18,13,PHI,DEN,1,away,DefReb,,,DefReb,,J. Nelson,
92,1,3:25.0,18,13,PHI,DEN,15,away,PersonalFoul,DrawnBy,,PersonalFoul,,T. McConnell,D. Gallinari
93,1,3:25.0,18,13,PHI,DEN,0,home,Sub,,,,,T. Luwawu-Cabarrot,N. Stauskas
94,1,3:18.0,18,13,PHI,DEN,7,away,LU,,1,miss2,0,D. Gallinari,
95,1,3:17.0,18,13,PHI,DEN,1,home,DefReb,,,DefReb,,H. Thompson,
96,1,3:11.0,18,13,PHI,DEN,6,home,JS,,25,miss3,0,D. Šarić,
97,1,3:10.0,18,13,PHI,DEN,1,away,DefReb,,,DefReb,,D. Gallinari,
98,1,3:05.0,18,13,PHI,DEN,5,away,ShootingBlockFoul,DrawnBy,,ShootingBlockingFoul,,D. Šarić,D. Gallinari
99,1,3:05.0,18,14,PHI,DEN,0,away,FreeThrow,,,make1,1,D. Gallinari,
100,1,3:05.0,18,14,PHI,DEN,0,away,FreeThrow,,,make1,0,D. Gallinari,
101,1,3:03.0,18,14,PHI,DEN,2,home,DefReb,,,DefReb,,D. Šarić,
102,1,2:51.0,20,14,PHI,DEN,12,home,DK,assist,0,make2,2,R. Holmes,H. Thompson
103,1,2:33.0,20,14,PHI,DEN,18,away,JS,,28,miss3,0,D. Gallinari,
104,1,2:31.0,20,14,PHI,DEN,2,home,DefReb,,,DefReb,,T. McConnell,
105,1,2:24.0,20,14,PHI,DEN,7,home,LU,,3,miss2,0,R. Holmes,
106,1,2:22.0,20,14,PHI,DEN,2,away,DefReb,,,DefReb,,D. Arthur,
107,1,2:14.0,20,14,PHI,DEN,8,away,JS,,25,miss3,0,D. Arthur,
108,1,2:13.0,20,14,PHI,DEN,1,home,DefReb,,,DefReb,,D. Šarić,
109,1,2:00.0,22,14,PHI,DEN,13,home,LU,assist,1,make2,2,D. Šarić,T. McConnell
