,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:40.0,0,0,POR,DAL,20,away,JS,,21,miss2,0,D. Nowitzki,
1,1,11:40.0,0,0,POR,DAL,0,home,DefReb,,,DefReb,,D. Lillard,
2,1,11:25.0,0,0,POR,DAL,15,home,JS,,17,miss2,0,N. Batum,
3,1,11:24.0,0,0,POR,DAL,1,away,DefReb,,,DefReb,,J. Nelson,
4,1,11:14.0,0,2,POR,DAL,10,away,JS,assist,4,make2,2,C. Parsons,D. Nowitzki
5,1,10:56.0,2,2,POR,DAL,18,home,LU,,2,make2,2,W. Matthews,
6,1,10:37.0,2,4,POR,DAL,19,away,JS,,3,make2,2,M. Ellis,
7,1,10:11.0,2,4,POR,DAL,26,home,JS,,23,miss3,0,W. Matthews,
8,1,10:10.0,2,4,POR,DAL,1,away,DefReb,,,DefReb,,M. Ellis,
9,1,10:06.0,2,4,POR,DAL,4,away,LostBall,steal,,turnover,,M. Ellis,D. Lillard
10,1,10:03.0,4,4,POR,DAL,3,home,DK,,0,make2,2,D. Lillard,
11,1,9:43.0,4,4,POR,DAL,20,away,JS,,8,miss2,0,J. Nelson,
12,1,9:43.0,4,4,POR,DAL,0,home,DefReb,,,DefReb,,N. Batum,
13,1,9:28.0,6,4,POR,DAL,15,home,LU,assist,2,make2,2,L. Aldridge,N. Batum
14,1,9:15.0,6,6,POR,DAL,13,away,JS,,18,make2,2,M. Ellis,
15,1,8:53.0,6,6,POR,DAL,22,home,LU,block,3,miss2,0,L. Aldridge,T. Chandler
16,1,8:53.0,6,6,POR,DAL,0,away,DefReb,,,DefReb,,D. Nowitzki,
17,1,8:47.0,6,9,POR,DAL,6,away,JS,,23,make3,3,D. Nowitzki,
18,1,8:29.0,6,9,POR,DAL,18,away,ChargeFoul,DrawnBy,,ChargeFoul,,L. Aldridge,T. Chandler
19,1,8:29.0,6,9,POR,DAL,0,home,OffensiveFoul,,,turnover,,L. Aldridge,
20,1,8:14.0,6,9,POR,DAL,15,away,JS,,16,miss2,0,C. Parsons,
21,1,8:13.0,6,9,POR,DAL,1,home,DefReb,,,DefReb,,R. Lopez,
22,1,8:02.0,6,9,POR,DAL,11,home,JS,,18,miss2,0,R. Lopez,
23,1,8:02.0,6,9,POR,DAL,0,away,DefReb,,,DefReb,,J. Nelson,
24,1,7:55.0,6,11,POR,DAL,7,away,LU,,1,make2,2,M. Ellis,
25,1,7:46.0,6,11,POR,DAL,9,home,PersonalBlockFoul,DrawnBy,,PersonalBlockingFoul,,M. Ellis,L. Aldridge
26,1,7:40.0,6,11,POR,DAL,6,home,JS,block,3,miss2,0,D. Lillard,T. Chandler
27,1,7:40.0,6,11,POR,DAL,0,away,DefReb,,,DefReb,,Team,
28,1,7:40.0,6,11,POR,DAL,0,home,LooseBallFoul,DrawnBy,,LooseBallFoul,,N. Batum,C. Parsons
29,1,7:19.0,6,11,POR,DAL,21,away,JS,,24,miss3,0,C. Parsons,
30,1,7:18.0,6,11,POR,DAL,1,home,DefReb,,,DefReb,,W. Matthews,
31,1,7:07.0,6,11,POR,DAL,11,home,JS,,24,miss3,0,D. Lillard,
32,1,7:06.0,6,11,POR,DAL,1,home,OffReb,,,OffReb,,N. Batum,
33,1,7:04.0,6,11,POR,DAL,2,home,OffensiveFoul,,,turnover,,D. Lillard,
34,1,7:04.0,6,11,POR,DAL,0,away,ChargeFoul,DrawnBy,,ChargeFoul,,D. Lillard,J. Nelson
35,1,6:52.0,6,11,POR,DAL,12,away,JS,,16,miss2,0,M. Ellis,
36,1,6:51.0,6,11,POR,DAL,1,home,DefReb,,,DefReb,,N. Batum,
37,1,6:41.0,8,11,POR,DAL,10,home,JS,assist,17,make2,2,L. Aldridge,N. Batum
38,1,6:22.0,8,11,POR,DAL,19,away,JS,,20,miss2,0,J. Nelson,
39,1,6:21.0,8,11,POR,DAL,1,home,DefReb,,,DefReb,,N. Batum,
40,1,6:10.0,8,11,POR,DAL,11,home,JS,,13,miss2,0,L. Aldridge,
41,1,6:09.0,8,11,POR,DAL,1,away,DefReb,,,DefReb,,C. Parsons,
42,1,5:46.0,8,11,POR,DAL,23,away,JS,,15,miss2,0,D. Nowitzki,
43,1,5:45.0,8,11,POR,DAL,1,home,DefReb,,,DefReb,,N. Batum,
44,1,5:29.0,8,11,POR,DAL,16,home,LostBall,,,turnover,,R. Lopez,
45,1,5:29.0,8,11,POR,DAL,0,home,Timeout,,,,,,
46,1,5:29.0,8,11,POR,DAL,0,away,Sub,,,,,D. Harris,D. Nowitzki
47,1,5:14.0,8,11,POR,DAL,15,away,LostBall,,,turnover,,C. Parsons,
48,1,4:58.0,10,11,POR,DAL,16,home,JS,assist,20,make2,2,L. Aldridge,D. Lillard
49,1,4:42.0,10,11,POR,DAL,16,away,JS,,18,miss2,0,M. Ellis,
50,1,4:41.0,10,11,POR,DAL,1,home,DefReb,,,DefReb,,W. Matthews,
51,1,4:26.0,10,11,POR,DAL,15,home,BadPass,steal,,turnover,,D. Lillard,D. Harris
52,1,4:21.0,10,11,POR,DAL,5,home,DefGoaltending,,,DefGoaltending,,N. Batum,
