,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:40.0,2,0,PHO,POR,20,home,JS,assist,12,make2,2,A. Len,E. Bledsoe
1,1,11:33.0,2,0,PHO,POR,7,away,BadPass,,,turnover,,D. Lillard,
2,1,11:24.0,4,0,PHO,POR,9,home,JS,assist,6,make2,2,J. Leuer,B. Knight
3,1,11:07.0,4,0,PHO,POR,17,home,ChargeFoul,DrawnBy,,ChargeFoul,,C. McCollum,J. Leuer
4,1,11:07.0,4,0,PHO,POR,0,away,OffensiveFoul,,,turnover,,C. McCollum,
5,1,10:55.0,4,0,PHO,POR,12,home,JS,,25,miss3,0,B. Knight,
6,1,10:55.0,4,0,PHO,POR,0,home,OffReb,,,OffReb,,J. Leuer,
7,1,10:42.0,4,0,PHO,POR,13,home,PersonalFoul,DrawnBy,,PersonalFoul,,N. Vonleh,P. Tucker
8,1,10:36.0,4,0,PHO,POR,6,home,JS,,24,miss3,0,E. Bledsoe,
9,1,10:35.0,4,0,PHO,POR,1,away,DefReb,,,DefReb,,C. McCollum,
10,1,10:28.0,4,0,PHO,POR,7,away,BadPass,steal,,turnover,,D. Lillard,B. Knight
11,1,10:10.0,4,0,PHO,POR,18,home,LU,,2,miss2,0,J. Leuer,
12,1,10:09.0,4,0,PHO,POR,1,away,DefReb,,,DefReb,,A. Aminu,
13,1,9:57.0,4,0,PHO,POR,12,away,JS,,24,miss3,0,D. Lillard,
14,1,9:57.0,4,0,PHO,POR,0,home,DefReb,,,DefReb,,B. Knight,
15,1,9:44.0,4,0,PHO,POR,13,home,JS,,25,miss3,0,B. Knight,
16,1,9:44.0,4,0,PHO,POR,0,away,DefReb,,,DefReb,,A. Aminu,
17,1,9:33.0,4,0,PHO,POR,11,away,JS,,15,miss2,0,D. Lillard,
18,1,9:33.0,4,0,PHO,POR,0,home,DefReb,,,DefReb,,P. Tucker,
19,1,9:21.0,6,0,PHO,POR,12,home,DK,assist,0,make2,2,A. Len,E. Bledsoe
20,1,8:54.0,6,0,PHO,POR,27,away,JS,,24,miss3,0,A. Aminu,
21,1,8:54.0,6,0,PHO,POR,0,away,OffReb,,,OffReb,,M. Plumlee,
22,1,8:51.0,6,2,PHO,POR,3,away,LU,assist,2,make2,2,A. Aminu,M. Plumlee
23,1,8:51.0,6,2,PHO,POR,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,J. Leuer,A. Aminu
24,1,8:51.0,6,3,PHO,POR,0,away,FreeThrow,,,make1,1,A. Aminu,
25,1,8:40.0,9,3,PHO,POR,11,home,JS,assist,24,make3,3,E. Bledsoe,P. Tucker
26,1,8:20.0,9,6,PHO,POR,20,away,JS,,24,make3,3,C. McCollum,
27,1,8:05.0,9,6,PHO,POR,15,home,JS,,10,miss2,0,J. Leuer,
28,1,8:04.0,9,6,PHO,POR,1,away,DefReb,,,DefReb,,N. Vonleh,
29,1,7:57.0,9,8,PHO,POR,7,away,JS,assist,18,make2,2,A. Aminu,D. Lillard
30,1,7:44.0,9,8,PHO,POR,13,home,JS,,7,miss2,0,E. Bledsoe,
31,1,7:43.0,9,8,PHO,POR,1,home,OffReb,,,OffReb,,A. Len,
32,1,7:43.0,9,8,PHO,POR,0,home,LU,,0,miss2,0,A. Len,
33,1,7:41.0,9,8,PHO,POR,2,home,OffReb,,,OffReb,,J. Leuer,
34,1,7:41.0,11,8,PHO,POR,0,home,LU,,0,make2,2,J. Leuer,
35,1,7:37.0,11,8,PHO,POR,4,away,BadPass,steal,,turnover,,M. Plumlee,P. Tucker
36,1,7:35.0,11,8,PHO,POR,2,home,JS,,25,miss3,0,P. Tucker,
37,1,7:32.0,11,8,PHO,POR,3,away,DefReb,,,DefReb,,N. Vonleh,
38,1,7:13.0,11,10,PHO,POR,19,away,LU,assist,2,make2,2,D. Lillard,M. Plumlee
39,1,6:58.0,13,10,PHO,POR,15,home,JS,assist,19,make2,2,A. Len,B. Knight
40,1,6:43.0,13,12,PHO,POR,15,away,JS,assist,21,make2,2,C. McCollum,M. Plumlee
41,1,6:31.0,13,12,PHO,POR,12,home,JS,,24,miss3,0,B. Knight,
42,1,6:30.0,13,12,PHO,POR,1,away,DefReb,,,DefReb,,A. Aminu,
43,1,6:24.0,13,12,PHO,POR,6,away,JS,,7,miss2,0,A. Aminu,
44,1,6:23.0,13,12,PHO,POR,1,home,DefReb,,,DefReb,,A. Len,
45,1,6:12.0,13,12,PHO,POR,11,home,LU,,2,miss2,0,A. Len,
46,1,6:11.0,13,12,PHO,POR,1,away,DefReb,,,DefReb,,M. Plumlee,
47,1,6:00.0,13,15,PHO,POR,11,away,JS,assist,24,make3,3,C. McCollum,D. Lillard
48,1,5:54.0,13,15,PHO,POR,6,home,Timeout,,,,,,
49,1,5:46.0,13,15,PHO,POR,8,home,JS,,13,miss2,0,E. Bledsoe,
50,1,5:41.0,13,15,PHO,POR,5,home,OffReb,,,OffReb,,A. Len,
51,1,5:41.0,13,15,PHO,POR,0,home,LU,,0,miss2,0,A. Len,
52,1,5:41.0,13,15,PHO,POR,0,away,DefReb,,,DefReb,,M. Plumlee,
53,1,5:28.0,13,15,PHO,POR,13,away,JS,,24,miss3,0,D. Lillard,
54,1,5:28.0,13,15,PHO,POR,0,away,OffReb,,,OffReb,,N. Vonleh,
55,1,5:25.0,13,17,PHO,POR,3,away,LU,,1,make2,2,N. Vonleh,
56,1,5:11.0,15,17,PHO,POR,14,home,HS,assist,5,make2,2,J. Leuer,A. Len
57,1,4:59.0,15,17,PHO,POR,12,away,BadPass,steal,,turnover,,M. Plumlee,J. Leuer
58,1,4:54.0,17,17,PHO,POR,5,home,LU,assist,0,make2,2,E. Bledsoe,B. Knight
59,1,4:35.0,17,19,PHO,POR,19,away,LU,,0,make2,2,D. Lillard,
60,1,4:25.0,17,19,PHO,POR,10,home,JS,,5,miss2,0,E. Bledsoe,
61,1,4:24.0,17,19,PHO,POR,1,away,DefReb,,,DefReb,,N. Vonleh,
62,1,4:16.0,17,21,PHO,POR,8,away,LU,,2,make2,2,D. Lillard,
63,1,4:01.0,17,21,PHO,POR,15,home,JS,,6,miss2,0,B. Knight,
64,1,4:01.0,17,21,PHO,POR,0,away,DefReb,,,DefReb,,A. Aminu,
65,1,3:56.0,17,21,PHO,POR,5,away,JS,block,5,miss2,0,A. Aminu,P. Tucker
66,1,3:56.0,17,21,PHO,POR,0,away,OffReb,,,OffReb,,Team,
67,1,3:56.0,17,21,PHO,POR,0,away,Sub,,,,,A. Crabbe,C. McCollum
68,1,3:56.0,17,21,PHO,POR,0,home,Sub,,,,,M. Teletović,J. Leuer
69,1,3:56.0,17,21,PHO,POR,0,home,Sub,,,,,D. Booker,B. Knight
70,1,3:41.0,17,24,PHO,POR,15,away,JS,assist,27,make3,3,A. Crabbe,D. Lillard
71,1,3:31.0,19,24,PHO,POR,10,home,LU,assist,0,make2,2,D. Booker,M. Teletović
72,1,3:23.0,19,27,PHO,POR,8,away,JS,,24,make3,3,A. Crabbe,
73,1,3:07.0,22,27,PHO,POR,16,home,JS,assist,25,make3,3,M. Teletović,E. Bledsoe
74,1,2:58.0,22,27,PHO,POR,9,away,Timeout,,,,,,
75,1,2:58.0,22,27,PHO,POR,0,home,Sub,,,,,T. Warren,P. Tucker
76,1,2:58.0,22,27,PHO,POR,0,away,Sub,,,,,M. Leonard,A. Aminu
77,1,2:58.0,22,27,PHO,POR,0,away,Sub,,,,,G. Henderson,N. Vonleh
78,1,2:58.0,22,27,PHO,POR,0,away,Sub,,,,,E. Davis,M. Plumlee
79,1,2:43.0,22,27,PHO,POR,15,away,JS,,24,miss3,0,A. Crabbe,
80,1,2:42.0,22,27,PHO,POR,1,away,OffReb,,,OffReb,,Team,
81,1,2:34.0,22,27,PHO,POR,8,away,JS,,14,miss2,0,M. Leonard,
82,1,2:34.0,22,27,PHO,POR,0,away,OffReb,,,OffReb,,Team,
83,1,2:34.0,22,27,PHO,POR,0,home,LooseBallFoul,DrawnBy,,LooseBallFoul,,D. Booker,E. Davis
84,1,2:24.0,22,27,PHO,POR,10,away,LU,,1,miss2,0,D. Lillard,
