,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:52.0,2,0,DEN,TOR,8,home,JS,assist,3,make2,2,T. Craig,N. Jokić
1,1,11:34.0,2,0,DEN,TOR,18,away,JS,,10,miss2,0,S. Ibaka,
2,1,11:32.0,2,0,DEN,TOR,2,home,DefReb,,,DefReb,,N. Jokić,
3,1,11:15.0,2,0,DEN,TOR,17,home,JS,,23,miss3,0,N. Jokić,
4,1,11:11.0,2,0,DEN,TOR,4,away,DefReb,,,DefReb,,D. Wright,
5,1,10:52.0,2,0,DEN,TOR,19,away,DK,block,1,miss2,0,K. Leonard,T. Craig
6,1,10:51.0,2,0,DEN,TOR,1,away,OffReb,,,OffReb,,Team,
7,1,10:36.0,2,0,DEN,TOR,15,away,JS,,9,miss2,0,D. Green,
8,1,10:34.0,2,0,DEN,TOR,2,home,DefReb,,,DefReb,,N. Jokić,
9,1,10:32.0,5,0,DEN,TOR,2,home,JS,assist,25,make3,3,J. Murray,T. Craig
10,1,10:08.0,5,0,DEN,TOR,24,away,JS,,24,miss3,0,C. Miles,
11,1,10:04.0,5,0,DEN,TOR,4,home,DefReb,,,DefReb,,J. Murray,
12,1,10:02.0,5,0,DEN,TOR,2,home,PersonalFoul,DrawnBy,,PersonalFoul,,C. Miles,M. Plumlee
13,1,9:56.0,5,0,DEN,TOR,6,home,JS,,15,miss2,0,J. Murray,
14,1,9:52.0,5,0,DEN,TOR,4,away,DefReb,,,DefReb,,C. Miles,
15,1,9:32.0,5,0,DEN,TOR,20,away,LU,,2,miss2,0,D. Wright,
16,1,9:31.0,5,0,DEN,TOR,1,away,OffReb,,,OffReb,,D. Green,
17,1,9:30.0,5,2,DEN,TOR,1,away,LU,assist,2,make2,2,S. Ibaka,D. Wright
18,1,9:30.0,5,2,DEN,TOR,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,M. Plumlee,S. Ibaka
19,1,9:30.0,5,3,DEN,TOR,0,away,FreeThrow,,,make1,1,S. Ibaka,
20,1,9:10.0,5,3,DEN,TOR,20,home,HS,block,5,miss2,0,N. Jokić,S. Ibaka
21,1,9:08.0,5,3,DEN,TOR,2,away,DefReb,,,DefReb,,K. Leonard,
22,1,9:05.0,5,3,DEN,TOR,3,away,lost ball,steal,,turnover,,K. Leonard,M. Plumlee
23,1,9:02.0,5,3,DEN,TOR,3,home,LU,,2,miss2,0,M. Plumlee,
24,1,8:59.0,5,3,DEN,TOR,3,home,OffReb,,,OffReb,,M. Plumlee,
25,1,8:59.0,5,3,DEN,TOR,0,home,LU,,1,miss2,0,M. Plumlee,
26,1,8:58.0,5,3,DEN,TOR,1,away,DefReb,,,DefReb,,K. Leonard,
27,1,8:55.0,5,6,DEN,TOR,3,away,JS,assist,22,make3,3,D. Green,K. Leonard
28,1,8:35.0,5,6,DEN,TOR,20,home,bad pass,steal,,turnover,,N. Jokić,D. Green
29,1,8:33.0,5,8,DEN,TOR,2,away,LU,,1,make2,2,D. Green,
30,1,8:14.0,7,8,DEN,TOR,19,home,DK,assist,1,make2,2,M. Plumlee,N. Jokić
31,1,7:52.0,7,8,DEN,TOR,22,away,JS,,10,miss2,0,K. Leonard,
32,1,7:49.0,7,8,DEN,TOR,3,home,DefReb,,,DefReb,,J. Hernangómez,
33,1,7:45.0,7,8,DEN,TOR,4,home,PersonalFoul,DrawnBy,,PersonalFoul,,S. Ibaka,N. Jokić
34,1,7:30.0,7,8,DEN,TOR,15,home,JS,,20,miss2,0,T. Craig,
35,1,7:26.0,7,8,DEN,TOR,4,away,DefReb,,,DefReb,,D. Wright,
36,1,7:11.0,7,8,DEN,TOR,15,away,bad pass,steal,,turnover,,D. Wright,N. Jokić
37,1,6:52.0,9,8,DEN,TOR,19,home,HS,,4,make2,2,M. Plumlee,
38,1,6:51.0,9,8,DEN,TOR,1,away,Timeout,,,,,,
39,1,6:34.0,9,8,DEN,TOR,17,away,Traveling,,,turnover,,K. Leonard,
40,1,6:20.0,9,8,DEN,TOR,14,home,HS,,5,miss2,0,N. Jokić,
41,1,6:18.0,9,8,DEN,TOR,2,home,OffReb,,,OffReb,,N. Jokić,
42,1,6:18.0,9,8,DEN,TOR,0,home,LU,,1,miss2,0,N. Jokić,
43,1,6:18.0,9,8,DEN,TOR,0,away,DefReb,,,DefReb,,K. Leonard,
44,1,6:13.0,9,8,DEN,TOR,5,away,lost ball,steal,,turnover,,K. Leonard,J. Murray
45,1,6:09.0,9,8,DEN,TOR,4,home,LU,,2,miss2,0,T. Craig,
46,1,6:05.0,9,8,DEN,TOR,4,away,DefReb,,,DefReb,,Team,
47,1,5:53.0,9,8,DEN,TOR,12,away,ShootingFoul,DrawnBy,,ShootingFoul,,M. Plumlee,K. Leonard
48,1,5:53.0,9,9,DEN,TOR,0,away,FreeThrow,,,make1,1,K. Leonard,
49,1,5:53.0,9,9,DEN,TOR,0,home,Sub,,,,,M. Beasley,M. Plumlee
50,1,5:53.0,9,10,DEN,TOR,0,away,FreeThrow,,,make1,1,K. Leonard,
51,1,5:38.0,11,10,DEN,TOR,15,home,LU,assist,2,make2,2,N. Jokić,J. Hernangómez
52,1,5:29.0,11,12,DEN,TOR,9,away,LU,,4,make2,2,D. Wright,
53,1,5:18.0,11,12,DEN,TOR,11,home,JS,,25,miss3,0,J. Murray,
54,1,5:16.0,11,12,DEN,TOR,2,away,DefReb,,,DefReb,,S. Ibaka,
55,1,5:04.0,11,14,DEN,TOR,12,away,JS,assist,11,make2,2,D. Green,C. Miles
56,1,4:44.0,14,14,DEN,TOR,20,home,JS,assist,23,make3,3,T. Craig,J. Murray
57,1,4:16.0,14,14,DEN,TOR,28,away,ShotClockViolation,,,turnover,,Team,
58,1,4:16.0,14,14,DEN,TOR,0,away,Sub,,,,,O. Anunoby,D. Green
59,1,4:16.0,14,14,DEN,TOR,0,away,Sub,,,,,L. Brown,C. Miles
60,1,4:16.0,14,14,DEN,TOR,0,home,Sub,,,,,M. Morris,J. Murray
61,1,4:05.0,16,14,DEN,TOR,11,home,LU,,3,make2,2,M. Morris,
62,1,3:44.0,16,16,DEN,TOR,21,away,JS,assist,4,make2,2,D. Wright,O. Anunoby
63,1,3:26.0,16,16,DEN,TOR,18,home,LU,block,3,miss2,0,M. Beasley,O. Anunoby
64,1,3:23.0,16,16,DEN,TOR,3,home,OffReb,,,OffReb,,M. Beasley,
65,1,3:22.0,18,16,DEN,TOR,1,home,LU,,1,make2,2,M. Beasley,
66,1,3:02.0,18,16,DEN,TOR,20,away,JS,,26,miss3,0,D. Wright,
67,1,2:59.0,18,16,DEN,TOR,3,away,OffReb,,,OffReb,,K. Leonard,
68,1,2:54.0,18,18,DEN,TOR,5,away,DK,,0,make2,2,K. Leonard,
69,1,2:54.0,18,18,DEN,TOR,0,home,Timeout,,,,,,
70,1,2:54.0,18,18,DEN,TOR,0,away,Sub,,,,,G. Monroe,S. Ibaka
71,1,2:40.0,18,18,DEN,TOR,14,home,ShootingFoul,DrawnBy,,ShootingFoul,,G. Monroe,N. Jokić
72,1,2:40.0,19,18,DEN,TOR,0,home,FreeThrow,,,make1,1,N. Jokić,
73,1,2:40.0,20,18,DEN,TOR,0,home,FreeThrow,,,make1,1,N. Jokić,
74,1,2:28.0,20,18,DEN,TOR,12,away,bad pass,steal,,turnover,,D. Wright,M. Morris
75,1,2:24.0,23,18,DEN,TOR,4,home,JS,assist,25,make3,3,M. Beasley,M. Morris
76,1,2:05.0,23,18,DEN,TOR,19,away,JS,,25,miss3,0,L. Brown,
77,1,2:02.0,23,18,DEN,TOR,3,home,DefReb,,,DefReb,,T. Craig,
78,1,1:43.0,23,18,DEN,TOR,19,home,HS,,8,miss2,0,N. Jokić,
79,1,1:40.0,23,18,DEN,TOR,3,away,DefReb,,,DefReb,,L. Brown,
80,1,1:35.0,23,20,DEN,TOR,5,away,JS,,9,make2,2,L. Brown,
81,1,1:14.0,23,20,DEN,TOR,21,home,OffensiveFoul,,,,,Team,
82,1,1:14.0,23,20,DEN,TOR,0,away,Sub,,,,,D. Green,K. Leonard
83,1,1:14.0,23,20,DEN,TOR,0,away,Sub,,,,,C. Miles,D. Wright
84,1,1:14.0,23,20,DEN,TOR,0,home,Sub,,,,,T. Lyles,N. Jokić
85,1,0:57.0,23,20,DEN,TOR,17,away,LU,block,1,miss2,0,G. Monroe,T. Lyles
86,1,0:55.0,23,20,DEN,TOR,2,home,DefReb,,,DefReb,,T. Lyles,
87,1,0:48.0,23,20,DEN,TOR,7,home,LU,block,2,miss2,0,T. Lyles,O. Anunoby
88,1,0:45.0,23,20,DEN,TOR,3,away,DefReb,,,DefReb,,L. Brown,
89,1,0:43.0,23,23,DEN,TOR,2,away,JS,assist,23,make3,3,C. Miles,L. Brown
90,1,0:25.0,23,23,DEN,TOR,18,home,JS,,14,miss2,0,M. Morris,
91,1,0:21.0,23,23,DEN,TOR,4,away,DefReb,,,DefReb,,C. Miles,
92,1,0:15.0,23,23,DEN,TOR,6,away,ShootingFoul,DrawnBy,,ShootingFoul,,T. Craig,O. Anunoby
93,1,0:15.0,23,23,DEN,TOR,0,away,FreeThrow,,,make1,0,O. Anunoby,
94,1,0:15.0,23,23,DEN,TOR,0,away,OffReb,,,OffReb,,Team,
95,1,0:15.0,23,23,DEN,TOR,0,home,Sub,,,,,J. Murray,T. Craig
96,1,0:15.0,23,23,DEN,TOR,0,away,FreeThrow,,,make1,0,O. Anunoby,
97,1,0:14.0,23,23,DEN,TOR,1,home,DefReb,,,DefReb,,J. Murray,
98,1,0:03.0,23,23,DEN,TOR,11,home,JS,,25,miss3,0,J. Murray,
99,1,0:01.0,23,23,DEN,TOR,2,away,DefReb,,,DefReb,,D. Green,
100,1,0:00.0,23,23,DEN,TOR,1,away,JS,,52,miss3,0,D. Green,
101,1,0:00.0,23,23,DEN,TOR,0,away,OffReb,,,OffReb,,Team,
102,2,11:44.0,23,23,DEN,TOR,16,away,JS,,3,miss2,0,C. Miles,
103,2,11:42.0,23,23,DEN,TOR,2,home,DefReb,,,DefReb,,M. Beasley,
104,2,11:40.0,23,23,DEN,TOR,2,home,LU,block,2,miss2,0,M. Morris,L. Brown
105,2,11:40.0,23,23,DEN,TOR,0,away,DefReb,,,DefReb,,O. Anunoby,
106,2,11:27.0,23,23,DEN,TOR,13,away,LU,block,3,miss2,0,L. Brown,M. Beasley
107,2,11:24.0,23,23,DEN,TOR,3,away,OffReb,,,OffReb,,G. Monroe,
108,2,11:24.0,23,25,DEN,TOR,0,away,LU,,2,make2,2,G. Monroe,
109,2,11:24.0,23,25,DEN,TOR,0,home,DefGoaltending,,,DefGoaltending,,Team,
110,2,11:08.0,23,25,DEN,TOR,16,home,JS,,25,miss3,0,M. Beasley,
111,2,11:03.0,23,25,DEN,TOR,5,away,DefReb,,,DefReb,,G. Monroe,
112,2,10:54.0,23,27,DEN,TOR,9,away,JS,,8,make2,2,L. Brown,
113,2,10:38.0,23,27,DEN,TOR,16,home,JS,,22,miss3,0,T. Lyles,
114,2,10:34.0,23,27,DEN,TOR,4,away,DefReb,,,DefReb,,C. Miles,
115,2,10:27.0,23,30,DEN,TOR,7,away,JS,assist,24,make3,3,O. Anunoby,L. Brown
116,2,10:25.0,23,30,DEN,TOR,2,home,Timeout,,,,,,
117,2,10:25.0,23,30,DEN,TOR,0,home,Sub,,,,,M. Plumlee,M. Beasley
118,2,10:05.0,26,30,DEN,TOR,20,home,JS,assist,26,make3,3,M. Morris,M. Plumlee
119,2,9:46.0,26,30,DEN,TOR,19,away,JS,,20,miss2,0,L. Brown,
