,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:51.0,0,0,CLE,PHI,9,away,BadPass,,,turnover,,B. Simmons,
1,1,11:38.0,0,0,CLE,PHI,13,home,JS,,18,miss2,0,G. Hill,
2,1,11:35.0,0,0,CLE,PHI,3,away,DefReb,,,DefReb,,D. Šarić,
3,1,11:24.0,0,2,CLE,PHI,11,away,LU,assist,0,make2,2,B. Simmons,J. Embiid
4,1,11:06.0,2,2,CLE,PHI,18,home,JS,,15,make2,2,R. Hood,
5,1,10:57.0,2,2,CLE,PHI,9,away,JS,,24,miss3,0,J. Redick,
6,1,10:55.0,2,2,CLE,PHI,2,home,DefReb,,,DefReb,,L. James,
7,1,10:45.0,2,2,CLE,PHI,10,home,JS,,17,miss2,0,L. James,
8,1,10:42.0,2,2,CLE,PHI,3,away,DefReb,,,DefReb,,B. Simmons,
9,1,10:37.0,2,5,CLE,PHI,5,away,JS,assist,23,make3,3,R. Covington,J. Redick
10,1,10:14.0,2,5,CLE,PHI,23,home,JS,,25,miss3,0,C. Osman,
11,1,10:11.0,2,5,CLE,PHI,3,away,DefReb,,,DefReb,,B. Simmons,
12,1,10:08.0,2,8,CLE,PHI,3,away,JS,assist,23,make3,3,R. Covington,B. Simmons
13,1,9:51.0,2,8,CLE,PHI,17,home,PersonalFoul,DrawnBy,,PersonalFoul,,J. Redick,R. Hood
14,1,9:44.0,4,8,CLE,PHI,7,home,JS,,12,make2,2,R. Hood,
15,1,9:36.0,4,11,CLE,PHI,8,away,JS,,25,make3,3,J. Redick,
16,1,9:23.0,4,11,CLE,PHI,13,home,ShootingFoul,DrawnBy,,ShootingFoul,,J. Embiid,G. Hill
17,1,9:23.0,5,11,CLE,PHI,0,home,FreeThrow,,,make1,1,G. Hill,
18,1,9:23.0,5,11,CLE,PHI,0,home,FreeThrow,,,make1,0,G. Hill,
19,1,9:20.0,5,11,CLE,PHI,3,away,DefReb,,,DefReb,,J. Embiid,
20,1,9:10.0,5,11,CLE,PHI,10,away,ShootingFoul,DrawnBy,,ShootingFoul,,T. Thompson,J. Embiid
21,1,9:10.0,5,12,CLE,PHI,0,away,FreeThrow,,,make1,1,J. Embiid,
22,1,9:10.0,5,12,CLE,PHI,0,away,FreeThrow,,,make1,0,J. Embiid,
23,1,9:09.0,5,12,CLE,PHI,1,home,DefReb,,,DefReb,,Team,
24,1,8:58.0,8,12,CLE,PHI,11,home,JS,assist,23,make3,3,C. Osman,G. Hill
25,1,8:43.0,8,12,CLE,PHI,15,away,PersonalFoul,DrawnBy,,PersonalFoul,,L. James,J. Redick
26,1,8:35.0,8,15,CLE,PHI,8,away,JS,assist,23,make3,3,J. Redick,J. Embiid
27,1,8:21.0,8,15,CLE,PHI,14,home,JS,block,13,miss2,0,T. Thompson,J. Embiid
28,1,8:21.0,8,15,CLE,PHI,0,home,OffReb,,,OffReb,,Team,
29,1,8:15.0,10,15,CLE,PHI,6,home,JS,assist,9,make2,2,L. James,C. Osman
30,1,8:15.0,10,15,CLE,PHI,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,R. Covington,L. James
31,1,8:15.0,11,15,CLE,PHI,0,home,FreeThrow,,,make1,1,L. James,
32,1,7:58.0,11,17,CLE,PHI,17,away,LU,,0,make2,2,J. Redick,
33,1,7:58.0,11,17,CLE,PHI,0,away,ShootingFoul,DrawnBy,,ShootingFoul,,C. Osman,J. Redick
34,1,7:58.0,11,18,CLE,PHI,0,away,FreeThrow,,,make1,1,J. Redick,
35,1,7:42.0,13,18,CLE,PHI,16,home,LU,assist,0,make2,2,L. James,G. Hill
36,1,7:42.0,13,18,CLE,PHI,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,B. Simmons,L. James
37,1,7:42.0,13,18,CLE,PHI,0,away,Sub,,,,,M. Belinelli,J. Redick
38,1,7:42.0,13,18,CLE,PHI,0,home,FreeThrow,,,make1,0,L. James,
39,1,7:40.0,13,18,CLE,PHI,2,home,OffReb,,,OffReb,,T. Thompson,
40,1,7:29.0,13,18,CLE,PHI,11,home,JS,,15,miss2,0,L. James,
41,1,7:25.0,13,18,CLE,PHI,4,home,OffReb,,,OffReb,,G. Hill,
42,1,7:21.0,13,18,CLE,PHI,4,home,bad pass,steal,,turnover,,G. Hill,B. Simmons
43,1,7:21.0,13,18,CLE,PHI,0,away,PersonalFoul,DrawnBy,,PersonalFoul,,R. Hood,B. Simmons
44,1,7:09.0,13,18,CLE,PHI,12,away,ShootingFoul,DrawnBy,,ShootingFoul,,T. Thompson,J. Embiid
45,1,7:09.0,13,19,CLE,PHI,0,away,FreeThrow,,,make1,1,J. Embiid,
46,1,7:09.0,13,19,CLE,PHI,0,away,FreeThrow,,,make1,0,J. Embiid,
47,1,7:05.0,13,19,CLE,PHI,4,home,DefReb,,,DefReb,,C. Osman,
48,1,7:02.0,15,19,CLE,PHI,3,home,DK,assist,1,make2,2,G. Hill,L. James
49,1,6:48.0,15,19,CLE,PHI,14,away,JS,,12,miss2,0,B. Simmons,
50,1,6:43.0,15,19,CLE,PHI,5,away,OffReb,,,OffReb,,D. Šarić,
51,1,6:40.0,15,21,CLE,PHI,3,away,HS,,7,make2,2,D. Šarić,
52,1,6:32.0,17,21,CLE,PHI,8,home,DK,assist,0,make2,2,L. James,R. Hood
53,1,6:31.0,17,21,CLE,PHI,1,away,Timeout,,,,,,
54,1,6:31.0,17,21,CLE,PHI,0,away,Sub,,,,,A. Johnson,J. Embiid
55,1,6:20.0,17,21,CLE,PHI,11,away,bad pass,steal,,turnover,,D. Šarić,T. Thompson
56,1,6:13.0,17,21,CLE,PHI,7,home,JS,,25,miss3,0,G. Hill,
57,1,6:10.0,17,21,CLE,PHI,3,away,DefReb,,,DefReb,,A. Johnson,
58,1,5:59.0,17,23,CLE,PHI,11,away,LU,assist,2,make2,2,M. Belinelli,B. Simmons
59,1,5:59.0,17,23,CLE,PHI,0,home,DefGoaltending,,,DefGoaltending,,C. Osman,
60,1,5:47.0,20,23,CLE,PHI,12,home,JS,assist,22,make3,3,C. Osman,L. James
61,1,5:27.0,20,26,CLE,PHI,20,away,JS,assist,26,make3,3,A. Johnson,B. Simmons
62,1,5:11.0,20,26,CLE,PHI,16,home,JS,,26,miss3,0,R. Hood,
63,1,5:08.0,20,26,CLE,PHI,3,away,DefReb,,,DefReb,,B. Simmons,
64,1,5:01.0,20,26,CLE,PHI,7,away,JS,,25,miss3,0,D. Šarić,
65,1,4:58.0,20,26,CLE,PHI,3,home,DefReb,,,DefReb,,T. Thompson,
66,1,4:41.0,20,26,CLE,PHI,17,home,LU,,0,miss2,0,L. James,
67,1,4:41.0,20,26,CLE,PHI,0,away,DefReb,,,DefReb,,Team,
68,1,4:41.0,20,26,CLE,PHI,0,home,Sub,,,,,J. Green,C. Osman
69,1,4:41.0,20,26,CLE,PHI,0,away,Sub,,,,,T. McConnell,R. Covington
70,1,4:26.0,20,26,CLE,PHI,15,away,PersonalFoul,DrawnBy,,PersonalFoul,,G. Hill,D. Šarić
71,1,4:26.0,20,27,CLE,PHI,0,away,FreeThrow,,,make1,1,D. Šarić,
72,1,4:26.0,20,28,CLE,PHI,0,away,FreeThrow,,,make1,1,D. Šarić,
73,1,4:14.0,20,28,CLE,PHI,12,home,LU,block,0,miss2,0,T. Thompson,A. Johnson
74,1,4:10.0,20,28,CLE,PHI,4,away,DefReb,,,DefReb,,D. Šarić,
75,1,4:08.0,20,28,CLE,PHI,2,away,JS,,26,miss3,0,D. Šarić,
76,1,4:05.0,20,28,CLE,PHI,3,home,DefReb,,,DefReb,,R. Hood,
77,1,4:00.0,20,28,CLE,PHI,5,home,JS,,11,miss2,0,R. Hood,
78,1,3:52.0,20,28,CLE,PHI,8,away,DefReb,,,DefReb,,D. Šarić,
79,1,3:43.0,20,28,CLE,PHI,9,away,HS,,11,miss2,0,A. Johnson,
80,1,3:41.0,20,28,CLE,PHI,2,home,DefReb,,,DefReb,,J. Green,
81,1,3:24.0,20,28,CLE,PHI,17,home,ShootingFoul,DrawnBy,,ShootingFoul,,A. Johnson,J. Green
82,1,3:24.0,21,28,CLE,PHI,0,home,FreeThrow,,,make1,1,J. Green,
83,1,3:24.0,21,28,CLE,PHI,0,home,Sub,,,,,L. Nance,R. Hood
84,1,3:24.0,21,28,CLE,PHI,0,home,Sub,,,,,J. Clarkson,G. Hill
85,1,3:24.0,21,28,CLE,PHI,0,home,Sub,,,,,K. Korver,T. Thompson
86,1,3:24.0,21,28,CLE,PHI,0,away,Sub,,,,,J. Embiid,A. Johnson
87,1,3:24.0,21,28,CLE,PHI,0,away,Sub,,,,,E. İlyasova,D. Šarić
88,1,3:24.0,21,28,CLE,PHI,0,away,Sub,,,,,J. Redick,M. Belinelli
89,1,3:24.0,21,28,CLE,PHI,0,away,Sub,,,,,R. Covington,B. Simmons
90,1,3:24.0,22,28,CLE,PHI,0,home,FreeThrow,,,make1,1,J. Green,
91,1,3:08.0,22,30,CLE,PHI,16,away,JS,,14,make2,2,J. Embiid,
92,1,2:49.0,22,30,CLE,PHI,19,home,OutOfBoundsLB,,,turnover,,L. James,
93,1,2:49.0,22,30,CLE,PHI,0,home,Timeout,,,,,,
94,1,2:31.0,22,30,CLE,PHI,18,away,Turnover,,,turnover,,J. Embiid,
95,1,2:19.0,24,30,CLE,PHI,12,home,JS,assist,16,make2,2,L. Nance,L. James
96,1,1:58.0,24,30,CLE,PHI,21,away,OutOfBounds,,,turnover,,J. Embiid,
97,1,1:43.0,26,30,CLE,PHI,15,home,LU,assist,1,make2,2,L. James,K. Korver
98,1,1:43.0,26,30,CLE,PHI,0,away,DefGoaltending,,,DefGoaltending,,J. Embiid,
99,1,1:27.0,26,30,CLE,PHI,16,away,JS,,24,miss3,0,T. McConnell,
100,1,1:24.0,26,30,CLE,PHI,3,home,DefReb,,,DefReb,,L. James,
101,1,1:17.0,26,30,CLE,PHI,7,home,JS,,23,miss3,0,J. Clarkson,
102,1,1:13.0,26,30,CLE,PHI,4,away,DefReb,,,DefReb,,R. Covington,
103,1,1:07.0,26,30,CLE,PHI,6,away,JS,,25,miss3,0,T. McConnell,
104,1,1:04.0,26,30,CLE,PHI,3,away,OffReb,,,OffReb,,J. Embiid,
105,1,1:03.0,26,32,CLE,PHI,1,away,LU,,0,make2,2,J. Embiid,
106,1,0:49.0,26,32,CLE,PHI,14,home,Sub,,,,,R. Hood,L. James
107,1,0:49.0,26,32,CLE,PHI,0,away,Sub,,,,,M. Belinelli,R. Covington
108,1,0:41.0,28,32,CLE,PHI,8,home,JS,assist,7,make2,2,J. Clarkson,R. Hood
109,1,0:41.0,28,32,CLE,PHI,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,J. Redick,J. Clarkson
110,1,0:41.0,29,32,CLE,PHI,0,home,FreeThrow,,,make1,1,J. Clarkson,
111,1,0:25.0,29,32,CLE,PHI,16,away,JS,,25,miss3,0,J. Embiid,
112,1,0:22.0,29,32,CLE,PHI,3,home,DefReb,,,DefReb,,J. Clarkson,
113,2,11:43.0,29,32,CLE,PHI,17,home,JS,,17,miss2,0,J. Green,
114,2,11:41.0,29,32,CLE,PHI,2,away,DefReb,,,DefReb,,R. Covington,
115,2,11:26.0,29,32,CLE,PHI,15,away,JS,,27,miss3,0,R. Covington,
116,2,11:20.0,29,32,CLE,PHI,6,away,OffReb,,,OffReb,,J. Embiid,
117,2,11:20.0,29,34,CLE,PHI,0,away,LU,,0,make2,2,J. Embiid,
118,2,11:03.0,32,34,CLE,PHI,17,home,JS,assist,26,make3,3,K. Korver,R. Hood
119,2,10:52.0,32,34,CLE,PHI,11,away,JS,,25,miss3,0,M. Belinelli,
120,2,10:49.0,32,34,CLE,PHI,3,home,DefReb,,,DefReb,,J. Clarkson,
121,2,10:34.0,34,34,CLE,PHI,15,home,JS,,21,make2,2,J. Clarkson,
122,2,10:14.0,34,34,CLE,PHI,20,away,LU,,2,miss2,0,M. Belinelli,
123,2,10:12.0,34,34,CLE,PHI,2,away,OffReb,,,OffReb,,J. Embiid,
124,2,10:06.0,34,34,CLE,PHI,6,away,JS,,13,miss2,0,J. Embiid,
125,2,10:05.0,34,34,CLE,PHI,1,away,OffReb,,,OffReb,,Team,
126,2,9:44.0,34,34,CLE,PHI,21,away,HS,,11,miss2,0,J. Embiid,
127,2,9:42.0,34,34,CLE,PHI,2,home,DefReb,,,DefReb,,J. Green,
128,2,9:37.0,34,34,CLE,PHI,5,home,lost ball,steal,,turnover,,J. Green,T. McConnell
