,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:39.0,0,0,ORL,MEM,21,away,LU,block,6,miss2,0,J. Morant,J. Isaac
1,1,11:39.0,0,0,ORL,MEM,0,away,OffReb,,,OffReb,,Team,
2,1,11:34.0,0,0,ORL,MEM,5,away,bad pass,steal,,turnover,,J. Morant,J. Isaac
3,1,11:30.0,2,0,ORL,MEM,4,home,LU,assist,1,make2,2,J. Isaac,A. Gordon
4,1,11:08.0,2,0,ORL,MEM,22,away,JS,,16,miss2,0,D. Brooks,
5,1,11:05.0,2,0,ORL,MEM,3,home,DefReb,,,DefReb,,J. Isaac,
6,1,10:56.0,2,0,ORL,MEM,9,home,ShootingFoul,DrawnBy,,ShootingFoul,,J. Morant,E. Fournier
7,1,10:56.0,3,0,ORL,MEM,0,home,FreeThrow,,,make1,1,E. Fournier,
8,1,10:56.0,4,0,ORL,MEM,0,home,FreeThrow,,,make1,1,E. Fournier,
9,1,10:41.0,4,0,ORL,MEM,15,away,LU,block,5,miss2,0,D. Brooks,J. Isaac
10,1,10:37.0,4,0,ORL,MEM,4,home,DefReb,,,DefReb,,J. Isaac,
11,1,10:23.0,4,0,ORL,MEM,14,home,BadPass,,,turnover,,N. Vučević,
12,1,10:05.0,4,3,ORL,MEM,18,away,JS,assist,26,make3,3,J. Crowder,J. Morant
13,1,9:46.0,4,3,ORL,MEM,19,home,BadPass,,,turnover,,M. Fultz,
14,1,9:36.0,4,3,ORL,MEM,10,away,LU,block,5,miss2,0,J. Morant,N. Vučević
15,1,9:36.0,4,3,ORL,MEM,0,away,OffReb,,,OffReb,,Team,
16,1,9:30.0,4,6,ORL,MEM,6,away,JS,assist,25,make3,3,J. Valančiūnas,J. Morant
17,1,9:17.0,6,6,ORL,MEM,13,home,JS,assist,17,make2,2,E. Fournier,N. Vučević
18,1,9:08.0,6,8,ORL,MEM,9,away,JS,,17,make2,2,J. Morant,
19,1,8:48.0,6,8,ORL,MEM,20,home,JS,,18,miss2,0,N. Vučević,
20,1,8:42.0,6,8,ORL,MEM,6,away,DefReb,,,DefReb,,J. Jackson,
21,1,8:37.0,6,8,ORL,MEM,5,away,JS,,12,miss2,0,D. Brooks,
22,1,8:31.0,6,8,ORL,MEM,6,home,DefReb,,,DefReb,,N. Vučević,
23,1,8:20.0,6,8,ORL,MEM,11,home,LU,,3,miss2,0,N. Vučević,
24,1,8:18.0,6,8,ORL,MEM,2,home,OffReb,,,OffReb,,A. Gordon,
25,1,8:17.0,8,8,ORL,MEM,1,home,LU,,1,make2,2,A. Gordon,
26,1,8:03.0,8,8,ORL,MEM,14,away,JS,,26,miss3,0,J. Valančiūnas,
27,1,7:59.0,8,8,ORL,MEM,4,home,DefReb,,,DefReb,,A. Gordon,
28,1,7:51.0,10,8,ORL,MEM,8,home,JS,,13,make2,2,A. Gordon,
29,1,7:36.0,10,8,ORL,MEM,15,away,JS,,13,miss2,0,J. Morant,
30,1,7:33.0,10,8,ORL,MEM,3,home,DefReb,,,DefReb,,E. Fournier,
31,1,7:30.0,10,8,ORL,MEM,3,home,LU,,2,miss2,0,E. Fournier,
32,1,7:30.0,10,8,ORL,MEM,0,home,OffReb,,,OffReb,,N. Vučević,
33,1,7:30.0,10,8,ORL,MEM,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,J. Jackson,N. Vučević
34,1,7:30.0,11,8,ORL,MEM,0,home,FreeThrow,,,make1,1,N. Vučević,
35,1,7:30.0,11,8,ORL,MEM,0,home,FreeThrow,,,make1,0,N. Vučević,
36,1,7:26.0,11,8,ORL,MEM,4,away,DefReb,,,DefReb,,J. Valančiūnas,
37,1,7:21.0,11,8,ORL,MEM,5,away,PersonalFoul,DrawnBy,,PersonalFoul,,A. Gordon,D. Brooks
38,1,7:05.0,11,8,ORL,MEM,16,away,bad pass,steal,,turnover,,J. Valančiūnas,M. Fultz
39,1,6:58.0,11,8,ORL,MEM,7,home,JS,,23,miss3,0,A. Gordon,
40,1,6:55.0,11,8,ORL,MEM,3,away,DefReb,,,DefReb,,J. Jackson,
41,1,6:52.0,11,8,ORL,MEM,3,away,LU,block,4,miss2,0,J. Jackson,M. Fultz
42,1,6:52.0,11,8,ORL,MEM,0,home,DefReb,,,DefReb,,N. Vučević,
43,1,6:52.0,11,8,ORL,MEM,0,home,Timeout,,,,,,
44,1,6:52.0,11,8,ORL,MEM,0,home,InstantReplay,,,RulingStands,,Team,
45,1,6:52.0,11,8,ORL,MEM,0,away,Sub,,,,,T. Jones,J. Morant
46,1,6:38.0,11,8,ORL,MEM,14,home,JS,,11,miss2,0,M. Fultz,
47,1,6:34.0,11,8,ORL,MEM,4,away,DefReb,,,DefReb,,J. Valančiūnas,
48,1,6:22.0,11,8,ORL,MEM,12,away,Traveling,,,turnover,,J. Valančiūnas,
49,1,6:15.0,11,8,ORL,MEM,7,home,JS,,26,miss3,0,A. Gordon,
50,1,6:11.0,11,8,ORL,MEM,4,away,DefReb,,,DefReb,,J. Valančiūnas,
51,1,6:02.0,11,8,ORL,MEM,9,away,bad pass,steal,,turnover,,J. Jackson,M. Fultz
52,1,5:52.0,13,8,ORL,MEM,10,home,LU,,2,make2,2,A. Gordon,
53,1,5:33.0,13,10,ORL,MEM,19,away,LU,assist,1,make2,2,J. Crowder,T. Jones
54,1,5:22.0,16,10,ORL,MEM,11,home,JS,assist,27,make3,3,N. Vučević,E. Fournier
55,1,5:12.0,16,10,ORL,MEM,10,away,JS,,16,miss2,0,D. Brooks,
56,1,5:10.0,16,10,ORL,MEM,2,home,DefReb,,,DefReb,,A. Gordon,
57,1,5:03.0,16,10,ORL,MEM,7,home,JS,,23,miss3,0,J. Isaac,
58,1,4:58.0,16,10,ORL,MEM,5,away,DefReb,,,DefReb,,J. Valančiūnas,
59,1,4:52.0,16,10,ORL,MEM,6,away,JS,,14,miss2,0,T. Jones,
60,1,4:48.0,16,10,ORL,MEM,4,home,DefReb,,,DefReb,,E. Fournier,
61,1,4:42.0,18,10,ORL,MEM,6,home,JS,,9,make2,2,E. Fournier,
62,1,4:42.0,18,10,ORL,MEM,0,home,ShootingFoul,DrawnBy,,ShootingFoul,,D. Brooks,E. Fournier
63,1,4:42.0,18,10,ORL,MEM,0,away,Timeout,,,,,,
64,1,4:42.0,18,10,ORL,MEM,0,away,Sub,,,,,K. Anderson,D. Brooks
65,1,4:42.0,18,10,ORL,MEM,0,away,Sub,,,,,B. Clarke,J. Crowder
66,1,4:42.0,18,10,ORL,MEM,0,away,Sub,,,,,M. Guduric,J. Valančiūnas
67,1,4:42.0,18,10,ORL,MEM,0,home,Sub,,,,,D. Augustin,M. Fultz
68,1,4:42.0,18,10,ORL,MEM,0,home,Sub,,,,,M. Carter-Williams,A. Gordon
69,1,4:42.0,19,10,ORL,MEM,0,home,FreeThrow,,,make1,1,E. Fournier,
70,1,4:19.0,19,10,ORL,MEM,23,away,HS,block,10,miss2,0,J. Jackson,J. Isaac
71,1,4:16.0,19,10,ORL,MEM,3,home,DefReb,,,DefReb,,N. Vučević,
72,1,3:57.0,19,10,ORL,MEM,19,home,JS,,26,miss3,0,D. Augustin,
73,1,3:52.0,19,10,ORL,MEM,5,away,DefReb,,,DefReb,,B. Clarke,
74,1,3:49.0,19,10,ORL,MEM,3,away,JS,,25,miss3,0,M. Guduric,
75,1,3:49.0,19,10,ORL,MEM,0,home,DefReb,,,DefReb,,Team,
76,1,3:31.0,21,10,ORL,MEM,18,home,HS,,5,make2,2,N. Vučević,
77,1,3:15.0,21,10,ORL,MEM,16,away,ShootingFoul,DrawnBy,,ShootingFoul,,J. Isaac,J. Jackson
78,1,3:15.0,21,11,ORL,MEM,0,away,FreeThrow,,,make1,1,J. Jackson,
79,1,3:15.0,21,11,ORL,MEM,0,home,Sub,,,,,A. Aminu,J. Isaac
80,1,3:15.0,21,11,ORL,MEM,0,home,Sub,,,,,M. Bamba,N. Vučević
81,1,3:15.0,21,12,ORL,MEM,0,away,FreeThrow,,,make1,1,J. Jackson,
82,1,2:57.0,21,12,ORL,MEM,18,home,JS,,26,miss3,0,M. Bamba,
83,1,2:54.0,21,12,ORL,MEM,3,away,DefReb,,,DefReb,,J. Jackson,
84,1,2:43.0,21,12,ORL,MEM,11,away,JS,block,12,miss2,0,M. Guduric,E. Fournier
85,1,2:37.0,21,12,ORL,MEM,6,home,DefReb,,,DefReb,,E. Fournier,
86,1,2:27.0,21,12,ORL,MEM,10,home,LU,,3,miss2,0,E. Fournier,
87,1,2:27.0,21,12,ORL,MEM,0,away,DefReb,,,DefReb,,Team,
88,1,2:27.0,21,12,ORL,MEM,0,away,PersonalFoul,DrawnBy,,PersonalFoul,,M. Carter-Williams,J. Jackson
89,1,2:27.0,21,12,ORL,MEM,0,away,Sub,,,,,B. Caboclo,J. Jackson
90,1,2:27.0,21,12,ORL,MEM,0,home,Sub,,,,,A. Gordon,E. Fournier
91,1,2:17.0,21,12,ORL,MEM,10,away,bad pass,steal,,turnover,,T. Jones,A. Aminu
92,1,2:14.0,21,12,ORL,MEM,3,home,OffGoaltending,,,turnover,,A. Gordon,
