,Quarter,TimeRemaining,ScoreHome,ScoreAway,HomeTeam,AwayTeam,Duration,ActionTeam,PrimaryAction,SecondaryAction,ActionMetric,ActionResult,ScoreResult,PrimaryPlayer,SecondaryPlayer
0,1,11:39.0,0,0,MIL,CLE,21,away,JS,,2,miss2,0,L. James,
1,1,11:38.0,0,0,MIL,CLE,1,home,DefReb,,,DefReb,,Team,
2,1,11:17.0,2,0,MIL,CLE,21,home,DK,assist,1,make2,2,T. Maker,G. Antetokounmpo
3,1,10:57.0,2,0,MIL,CLE,20,away,bad pass,steal,,turnover,,D. Wade,M. Brogdon
4,1,10:56.0,2,0,MIL,CLE,1,home,ShootingFoul,DrawnBy,,ShootingFoul,,J. Crowder,G. Antetokounmpo
5,1,10:56.0,3,0,MIL,CLE,0,home,FreeThrow,,,make1,1,G. Antetokounmpo,
6,1,10:56.0,3,0,MIL,CLE,0,home,FreeThrow,,,make1,0,G. Antetokounmpo,
7,1,10:52.0,3,0,MIL,CLE,4,away,DefReb,,,DefReb,,K. Love,
8,1,10:36.0,3,2,MIL,CLE,16,away,LU,assist,1,make2,2,K. Love,D. Wade
9,1,10:20.0,5,2,MIL,CLE,16,home,LU,,0,make2,2,G. Antetokounmpo,
10,1,10:07.0,5,2,MIL,CLE,13,away,JS,,28,miss3,0,K. Love,
11,1,10:07.0,5,2,MIL,CLE,0,home,DefReb,,,DefReb,,G. Antetokounmpo,
12,1,9:59.0,5,2,MIL,CLE,8,home,PersonalFoul,DrawnBy,,PersonalFoul,,D. Wade,T. Maker
13,1,9:45.0,7,2,MIL,CLE,14,home,JS,,7,make2,2,G. Antetokounmpo,
14,1,9:35.0,7,2,MIL,CLE,10,away,JS,,15,miss2,0,D. Wade,
15,1,9:33.0,7,2,MIL,CLE,2,home,DefReb,,,DefReb,,G. Antetokounmpo,
16,1,9:30.0,7,2,MIL,CLE,3,home,OutOfBoundsLB,,,turnover,,G. Antetokounmpo,
17,1,9:21.0,7,4,MIL,CLE,9,away,LU,assist,0,make2,2,J. Crowder,K. Love
18,1,9:09.0,7,4,MIL,CLE,12,home,BadPass,,,turnover,,K. Middleton,
19,1,9:01.0,7,6,MIL,CLE,8,away,LU,assist,1,make2,2,D. Wade,D. Rose
20,1,8:43.0,7,6,MIL,CLE,18,home,JS,,25,miss3,0,K. Middleton,
21,1,8:40.0,7,6,MIL,CLE,3,away,DefReb,,,DefReb,,J. Crowder,
22,1,8:37.0,7,6,MIL,CLE,3,away,BadPass,,,turnover,,L. James,
23,1,8:27.0,7,6,MIL,CLE,10,home,JS,,20,miss2,0,G. Antetokounmpo,
24,1,8:21.0,7,6,MIL,CLE,6,away,DefReb,,,DefReb,,K. Love,
25,1,8:18.0,7,6,MIL,CLE,3,away,bad pass,steal,,turnover,,K. Love,T. Snell
26,1,8:17.0,10,6,MIL,CLE,1,home,JS,assist,26,make3,3,M. Brogdon,T. Snell
27,1,8:10.0,10,6,MIL,CLE,7,away,ShootingFoul,DrawnBy,,ShootingFoul,,T. Maker,D. Rose
28,1,8:10.0,10,7,MIL,CLE,0,away,FreeThrow,,,make1,1,D. Rose,
29,1,8:10.0,10,7,MIL,CLE,0,away,turnover,steal,,turnover,,K. Love,G. Antetokounmpo
30,1,8:10.0,10,8,MIL,CLE,0,away,FreeThrow,,,make1,1,D. Rose,
31,1,8:01.0,10,8,MIL,CLE,9,home,JS,,26,miss3,0,M. Brogdon,
32,1,7:58.0,10,8,MIL,CLE,3,away,DefReb,,,DefReb,,K. Love,
33,1,7:50.0,10,10,MIL,CLE,8,away,LU,assist,0,make2,2,D. Rose,L. James
34,1,7:30.0,13,10,MIL,CLE,20,home,JS,assist,25,make3,3,T. Snell,K. Middleton
35,1,7:11.0,13,12,MIL,CLE,19,away,LU,assist,0,make2,2,K. Love,D. Wade
36,1,6:56.0,16,12,MIL,CLE,15,home,JS,assist,22,make3,3,T. Snell,K. Middleton
37,1,6:37.0,16,12,MIL,CLE,19,away,JS,,19,miss2,0,J. Crowder,
38,1,6:37.0,16,12,MIL,CLE,0,away,OffReb,,,OffReb,,Team,
39,1,6:37.0,16,12,MIL,CLE,0,home,TechnicalFoul,,,TechnicalFoul,,T. Maker,
40,1,6:37.0,16,12,MIL,CLE,0,home,Timeout,,,,,,
41,1,6:37.0,16,12,MIL,CLE,0,away,Sub,,,,,J. Smith,D. Wade
42,1,6:37.0,16,14,MIL,CLE,0,away,FreeThrow,,,make1,1,K. Love,
43,1,6:37.0,16,14,MIL,CLE,0,away,FreeThrow,,,make1,1,K. Love,
44,1,6:27.0,16,14,MIL,CLE,10,away,D3SecTech,,,,,,
45,1,6:27.0,16,15,MIL,CLE,0,away,FreeThrow,,,make1,1,K. Love makes technical free throw,
46,1,6:21.0,16,15,MIL,CLE,6,away,ShootingFoul,DrawnBy,,ShootingFoul,,K. Middleton,K. Love
47,1,6:21.0,16,16,MIL,CLE,0,away,FreeThrow,,,make1,1,K. Love,
48,1,6:21.0,16,17,MIL,CLE,0,away,FreeThrow,,,make1,1,K. Love,
49,1,6:02.0,19,17,MIL,CLE,19,home,JS,assist,22,make3,3,M. Brogdon,G. Antetokounmpo
50,1,5:39.0,19,19,MIL,CLE,23,away,HS,,1,make2,2,K. Love,
51,1,5:21.0,21,19,MIL,CLE,18,home,JS,,1,make2,2,K. Middleton,
52,1,4:59.0,21,19,MIL,CLE,22,away,LU,,1,miss2,0,L. James,
53,1,4:59.0,21,19,MIL,CLE,0,home,DefReb,,,DefReb,,Team,
54,1,4:59.0,21,19,MIL,CLE,0,away,LooseBallFoul,DrawnBy,,LooseBallFoul,,K. Love,T. Snell
55,1,4:59.0,21,19,MIL,CLE,0,home,Sub,,,,,G. Monroe,T. Maker
56,1,4:59.0,21,19,MIL,CLE,0,home,Sub,,,,,M. Dellavedova,M. Brogdon
57,1,4:59.0,21,19,MIL,CLE,0,away,Sub,,,,,T. Thompson,K. Love
58,1,4:59.0,21,19,MIL,CLE,0,away,Sub,,,,,I. Shumpert,D. Rose
59,1,4:47.0,21,19,MIL,CLE,12,home,JS,,23,miss3,0,T. Snell,
60,1,4:44.0,21,19,MIL,CLE,3,away,DefReb,,,DefReb,,J. Smith,
61,1,4:29.0,21,19,MIL,CLE,15,away,JS,,23,miss3,0,J. Smith,
62,1,4:23.0,21,19,MIL,CLE,6,away,OffReb,,,OffReb,,I. Shumpert,
63,1,4:19.0,21,21,MIL,CLE,4,away,LU,,3,make2,2,J. Smith,
64,1,4:06.0,21,21,MIL,CLE,13,home,JS,,26,miss3,0,K. Middleton,
65,1,4:02.0,21,21,MIL,CLE,4,away,DefReb,,,DefReb,,T. Thompson,
66,1,3:53.0,21,23,MIL,CLE,9,away,LU,,1,make2,2,L. James,
67,1,3:45.0,21,23,MIL,CLE,8,away,ChargeFoul,DrawnBy,,ChargeFoul,,M. Dellavedova,J. Smith
68,1,3:45.0,21,23,MIL,CLE,0,home,OffensiveFoul,,,turnover,,M. Dellavedova,
69,1,3:45.0,21,23,MIL,CLE,0,home,Sub,,,,,M. Teletović,G. Antetokounmpo
70,1,3:45.0,21,23,MIL,CLE,0,away,Sub,,,,,J. Green,J. Crowder
71,1,3:21.0,21,23,MIL,CLE,24,away,ShotClockViolation,,,turnover,,Team,
72,1,3:21.0,21,23,MIL,CLE,0,away,Timeout,,,,,,
73,1,3:21.0,21,23,MIL,CLE,0,away,Sub,,,,,D. Wade,L. James
74,1,3:20.0,21,23,MIL,CLE,1,away,JS,,22,miss3,0,J. Smith,
75,1,3:19.0,21,23,MIL,CLE,1,away,OffReb,,,OffReb,,Team,
76,1,2:59.0,21,23,MIL,CLE,20,home,JS,,9,miss2,0,G. Monroe,
77,1,2:56.0,21,23,MIL,CLE,3,away,DefReb,,,DefReb,,J. Smith,
78,1,2:47.0,21,23,MIL,CLE,9,away,OutOfBounds,,,turnover,,J. Green,
79,1,2:33.0,23,23,MIL,CLE,14,home,LU,assist,1,make2,2,G. Monroe,M. Dellavedova
80,1,2:17.0,23,23,MIL,CLE,16,away,JS,,23,miss3,0,I. Shumpert,
81,1,2:14.0,23,23,MIL,CLE,3,home,DefReb,,,DefReb,,K. Middleton,
82,1,2:07.0,25,23,MIL,CLE,7,home,HS,assist,1,make2,2,G. Monroe,K. Middleton
83,1,1:52.0,25,23,MIL,CLE,15,away,JS,,27,miss3,0,J. Smith,
84,1,1:47.0,25,23,MIL,CLE,5,home,DefReb,,,DefReb,,G. Monroe,
85,1,1:38.0,25,23,MIL,CLE,9,home,JS,,27,miss3,0,T. Snell,
86,1,1:34.0,25,23,MIL,CLE,4,away,DefReb,,,DefReb,,T. Thompson,
87,1,1:19.0,25,23,MIL,CLE,15,away,LU,,2,miss2,0,J. Smith,
88,1,1:17.0,25,23,MIL,CLE,2,home,DefReb,,,DefReb,,G. Monroe,
89,1,1:14.0,25,23,MIL,CLE,3,away,ChargeFoul,DrawnBy,,ChargeFoul,,K. Middleton,D. Wade
90,1,1:14.0,25,23,MIL,CLE,0,home,OffensiveFoul,,,turnover,,K. Middleton,
91,1,1:14.0,25,23,MIL,CLE,0,home,Sub,,,,,J. Terry,K. Middleton
92,1,0:56.0,25,23,MIL,CLE,18,away,Turnover,,,turnover,,I. Shumpert,
93,1,0:49.0,25,23,MIL,CLE,7,home,JS,,26,miss3,0,T. Snell,
94,1,0:45.0,25,23,MIL,CLE,4,home,OffReb,,,OffReb,,G. Monroe,
95,1,0:43.0,25,23,MIL,CLE,2,home,lost ball,steal,,turnover,,G. Monroe,J. Green
96,1,0:37.0,25,23,MIL,CLE,6,away,JS,,14,miss2,0,J. Green,
97,1,0:34.0,25,23,MIL,CLE,3,home,DefReb,,,DefReb,,J. Terry,
98,1,0:14.0,25,23,MIL,CLE,20,home,JS,,27,miss3,0,M. Teletović,
99,1,0:11.0,25,23,MIL,CLE,3,away,DefReb,,,DefReb,,D. Wade,
100,1,0:02.0,25,25,MIL,CLE,9,away,JS,,10,make2,2,D. Wade,
101,1,0:00.0,25,25,MIL,CLE,2,home,JS,,58,miss3,0,J. Terry,
102,1,0:00.0,25,25,MIL,CLE,0,home,OffReb,,,OffReb,,Team,
